# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	0	9	6	0	0	3
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	0	9	6	0	0	3
N	gene-N	TRANSCRIPT_gene-N	protein_coding	0	4	4	1	4	0	3
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	0	7	1	0	0	6
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	0	10	6	0	0	4
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	0	9	6	0	0	3
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	9	6	0	0	3
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	8	5	0	1	3
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	3	7	6	3	0	1
orf1ab	gene-orf1ab	TRANSCRIPT_gene-orf1ab	protein_coding	6	4	5	3	4	6	2
